Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,160.14160999802712,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,126.19307261351398,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,0.0,2369.623859077961,-0.0,,,0.0,,0
BTC-4hour,BTC,4h,0.0,926.6464044174796,-0.0,,,0.0,,0
ETH-15min,ETH,15m,0.0,19.45157306012431,-0.0,,,0.0,,0
ETH-1day,ETH,1d,0.0,54.90379499150375,-0.0,,,0.0,,0
ETH-1hour,ETH,1h,0.0,1078.6931818181818,-0.0,,,0.0,,0
ETH-4hour,ETH,4h,0.0,1165.8705944239875,-0.0,,,0.0,,0
SOL-15min,SOL,15m,0.0,23.088831551787685,-0.0,,,0.0,,0
SOL-1day,SOL,1d,0.0,71.11769513690234,-0.0,,,0.0,,0
SOL-1hour,SOL,1h,0.0,4467.618424282092,-0.0,,,0.0,,0
SOL-4hour,SOL,4h,0.0,4872.390452440328,-0.0,,,0.0,,0
